full_name,ast_x,ast_y,ast_z,r_au,class
 65909 (1998 FH12),-1.3875114724880322,-0.9409817364490233,0.10048126344661659,1.6795032595741974,APO
 66391 Moshup (1999 KW4),0.2617043695836036,-0.03401447549277486,0.20272569101208837,0.3327820118313619,ATE
 67367 (2000 LY27),-0.5102985404547441,-1.4786692994246493,-0.05817753446131407,1.5653281199056073,AMO
 67381 (2000 OL8),0.3105316101507593,1.315869168535845,0.15720809223213467,1.3611230414144442,APO
 68216 (2001 CV26),-0.3638576024371058,-1.6295890007691718,-0.46613278773353417,1.7335606254409974,APO
 68346 (2001 KZ66),0.740724006852502,-0.49325182096645176,0.25536518363029187,0.9258405857516068,APO
 68347 (2001 KB67),-0.6007013568047196,-0.583761297973638,-0.09532856535120104,0.8430343459496865,ATE
 68372 (2001 PM9),-0.9603159606555796,-0.1358725550396112,-0.1251630566750629,0.977923251722284,APO
 68548 (2001 XR31),0.846427043183138,-0.4149195592199776,0.20827672584506945,0.9653891311713595,APO
 68950 (2002 QF15),-0.6313645577890257,-0.7374122224820931,-0.053727076603182995,0.9722574707650419,APO
 69230 Hermes (1937 UB),0.4963779519378043,-2.2726948021290467,-0.22979669480982748,2.3375926197136825,APO
 85182 (1991 AQ),2.915351168116832,2.6524937951003364,0.19128334350221995,3.9460847791180753,APO
 85236 (1993 KH),-1.5546680761283127,0.3052595759412795,0.32772931640676906,1.6178945393531703,APO
 85585 Mjolnir (1998 FG2),1.1823037549544637,0.021387496673134415,-0.0018601235583155483,1.1824986486474396,APO
 85640 (1998 OX4),-0.7600997468625585,-2.1526771654530545,-0.13622049392435323,2.2869907360565582,APO
 85713 (1998 SS49),-0.5626080440068444,-1.1500390693460119,-0.09526492188870889,1.2838197215909681,APO
 85774 (1998 UT18),-1.1056555745838517,-0.6119379905765902,0.1780793797127383,1.2761875330052928,APO
 85938 (1999 DJ4),1.9352210418740379,1.9144748037525605,0.18385596949326602,2.728387302534916,APO
 85989 (1999 JD6),-0.7126940577613805,-0.8927579146007334,0.3440249050923163,1.1930224848570161,ATE
 85990 (1999 JV6),0.5838087478718972,-0.4356077751408019,-0.02233083781227136,0.7287561006072402,APO
 86039 (1999 NC43),-1.0673374345720772,0.39567895423061844,-0.06693484506956497,1.1402856254221685,APO
 86819 (2000 GK137),0.3326273462569428,-0.9548391571756393,0.14812089151091912,1.0219092748653429,APO
 87684 (2000 SY2),-0.014038181505613756,0.7019171997656162,-0.23121895818761432,0.7391529155000028,ATE
 88254 (2001 FM129),-1.4775119868267996,-0.9010408032543276,-0.04005983444327963,1.731046212751613,APO
 89136 (2001 US16),0.005212632536675144,1.6386651816344238,-0.054519016584047356,1.6395801511997616,APO
 89830 (2002 CE),-0.07377499403607063,0.9854637829932005,0.9076336462770237,1.3417825655412345,AMO
 89958 (2002 LY45),-0.8103638663803485,-0.012395750174253317,-0.017859470897638043,0.8106554207911234,APO
 89959 (2002 NT7),-0.7068130479514406,0.7165279192948228,0.041775040205593306,1.007344081169663,APO
 90075 (2002 VU94),-0.710320000822222,2.827573493427136,-0.38371908752266204,2.9405725126969826,APO
 90403 (2003 YE45),-0.47783312360309244,1.2449139066839496,-0.038268351169175235,1.3340163401430245,APO
 90416 (2003 YK118),0.33645887296039856,1.6820927905221192,0.21881462402804963,1.7293121663854705,APO
 99248 (2001 KY66),-2.492671489991453,1.143364888434116,-0.4006391628761494,2.771498902029418,APO
 99942 Apophis (2004 MN4),-0.07853569805449917,-0.8197397585208938,0.0418811023418286,0.8245575506307412,ATE
100085 (1992 UY4),-3.7554373282743834,-0.6601710619292582,-0.15908321774153455,3.816338929887182,APO
